,Location,ReportedYear,crime_count,longitude,latitude
0,100 E CAPITOL DR,2016,2,-87.9099174936427,43.0898699
1,100 E CAPITOL DR,2017,1,-87.9099174936427,43.0898699
2,100 E CAPITOL DR,2018,5,-87.9099174936427,43.0898699
3,100 E CAPITOL DR,2021,3,-87.9099174936427,43.0898699
4,100 E CAPITOL DR,2022,3,-87.9099174936427,43.0898699
5,100 E CLYBOURN ST,2017,1,-87.909395,43.036234
6,100 E CLYBOURN ST,2022,1,-87.909395,43.036234
7,100 E CONCORDIA AV,2016,1,-87.91067847002277,43.0785994
8,100 E PITTSBURGH AV,2016,1,-74.84983,38.965458
9,100 E PLEASANT ST,2016,2,-76.6134463,39.2937049
10,100 E PLEASANT ST,2017,2,-76.6134463,39.2937049
11,100 E PLEASANT ST,2018,13,-76.6134463,39.2937049
12,100 E PLEASANT ST,2021,1,-76.6134463,39.2937049
13,100 E WISCONSIN AV,2016,4,-87.9095588035886,43.039007600000005
14,100 E WISCONSIN AV,2017,2,-87.9095588035886,43.039007600000005
15,100 E WISCONSIN AV,2018,4,-87.9095588035886,43.039007600000005
16,100 E WISCONSIN AV,2019,1,-87.9095588035886,43.039007600000005
17,100 E WISCONSIN AV,2020,1,-87.9095588035886,43.039007600000005
18,100 E WISCONSIN AV,2021,2,-87.9095588035886,43.039007600000005
19,100 E WISCONSIN AV,2022,1,-87.9095588035886,43.039007600000005
20,100 E WISCONSIN AV #200,2016,1,27.897681774528778,-26.290074408707998
21,100 MANPOWER PL,2016,1,-87.91324327747625,43.0490762
22,100 MANPOWER PL,2022,1,-87.91324327747625,43.0490762
23,100 N WATER ST,2017,1,-87.90966310771705,43.03141085
24,100 N WATER ST,2021,1,-87.90966310771705,43.03141085
25,100 S BARCLAY ST,2017,1,-87.909532,43.030246
26,100 W BURLEIGH ST,2016,2,-87.911161,43.074861
27,100 W BURLEIGH ST,2017,1,-87.911161,43.074861
28,100 W BURLEIGH ST,2020,2,-87.911161,43.074861
29,100 W CENTER ST,2017,2,-87.91127395000001,43.06769435
30,100 W FLORIDA ST,2016,2,-87.911191,43.02744
31,100 W MANPOWER PL,2016,1,-87.91324327747625,43.0490762
32,100 W MANPOWER PL,2018,1,-87.91324327747625,43.0490762
33,100 W MANPOWER PL,2019,2,-87.91324327747625,43.0490762
34,100 W MANPOWER PL,2022,3,-87.91324327747625,43.0490762
35,100 W MICHIGAN ST,2017,1,-87.9100039,43.0374972
36,100 W MICHIGAN ST,2022,2,-87.9100039,43.0374972
37,100 W NORTH AV,2017,1,-87.63223190082937,41.91133775
38,100 W NORTH AV,2018,1,-87.63223190082937,41.91133775
39,100 W NORTH AV,2019,1,-87.63223190082937,41.91133775
40,100 W NORTH AV,2021,1,-87.63223190082937,41.91133775
41,100 W OREGON ST,2016,1,-87.911394,43.02847
42,100 W OREGON ST,2018,1,-87.911394,43.02847
43,100 W OREGON ST,2021,1,-87.911394,43.02847
44,100 W OREGON ST,2022,1,-87.911394,43.02847
45,100 W PITTSBURGH AV,2017,1,-74.850045,38.965637
46,100 W WRIGHT ST,2016,1,-87.911278,43.063986
47,1000 E KNAPP ST,2016,1,-87.899545,43.046991
48,1000 E KNAPP ST,2021,2,-87.899545,43.046991
49,1000 E KNAPP ST,2022,1,-87.899545,43.046991
50,1000 E TOWNSEND ST,2016,1,-87.89870782397861,43.079981849999996
51,1000 E TOWNSEND ST,2022,2,-87.89870782397861,43.079981849999996
52,1000 N 10TH ST,2017,1,-96.7069364041238,40.85040965
53,1000 N 9TH ST,2016,1,-116.1984534,43.6231942
54,1000 N 9TH ST,2019,2,-116.1984534,43.6231942
55,1000 N ASTOR ST,2017,1,-87.8994469,43.0442176
56,1000 N BROADWAY,2016,1,-87.90795600839745,43.0438191
57,1000 N BROADWAY,2017,1,-87.90795600839745,43.0438191
58,1000 N BROADWAY,2022,2,-87.90795600839745,43.0438191
59,1000 N CASS ST,2016,2,-94.346486,32.770184
60,1000 N EDISON ST,2017,1,-87.912042,43.043286
61,1000 N EDISON ST,2019,3,-87.912042,43.043286
62,1000 N EDISON ST,2022,1,-87.912042,43.043286
63,1000 N JACKSON ST,2017,1,-92.328926,34.760617
64,1000 N JACKSON ST,2021,2,-92.328926,34.760617
65,1000 N MARSHALL ST,2016,1,-75.14766978075582,39.969669249999995
66,1000 N MARSHALL ST,2017,2,-75.14766978075582,39.969669249999995
67,1000 N WATER ST,2016,2,-87.91022406583411,43.0440936
68,1000 N WATER ST,2017,4,-87.91022406583411,43.0440936
69,1000 N WATER ST,2018,5,-87.91022406583411,43.0440936
70,1000 N WATER ST,2019,2,-87.91022406583411,43.0440936
71,1000 N WATER ST,2020,3,-87.91022406583411,43.0440936
72,1000 N WATER ST,2022,11,-87.91022406583411,43.0440936
73,1000 W ATKINSON AV,2016,3,-87.923613,43.084095
