PropertyID,PropType,taxkey,Address,District,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price,Location,latitude,longitude
863164.0,Residential,2780035000.0,3102 N HACKETT AV,3.0,3060.0,Mansion,2.0,1922.0,11.0,,1.0,5.0,3.0,2.0,8400.0,12/24/2020,690000.0,"3102 N HACKETT AV,Milwaukee,wisconsin",43.07492285,-87.8765054188914
855891.0,Residential,2780058000.0,3218 N DOWNER AV,3.0,3160.0,Duplex N/S,2.0,1958.0,12.0,,2.0,7.0,3.0,1.0,5160.0,8/5/2020,377600.0,"3218 N DOWNER AV,Milwaukee,wisconsin",43.076112550000005,-87.87758007477143
850562.0,Residential,2780073000.0,3234 N HACKETT AV,3.0,3060.0,Residence O/S 2sty+,2.0,1906.0,10.0,,1.0,6.0,3.0,0.0,6000.0,3/24/2020,449000.0,"3234 N HACKETT AV,Milwaukee,wisconsin",43.0764584,-87.87644050575648
852109.0,Residential,2780076000.0,3235 N SHEPARD AV,3.0,3060.0,Residence O/S 2sty+,2.0,1908.0,9.0,,1.0,5.0,1.0,1.0,4200.0,4/28/2020,303000.0,"3235 N SHEPARD AV,Milwaukee,wisconsin",43.07644995,-87.87472500379235
852020.0,Residential,2780099000.0,3218 N SHEPARD AV,3.0,3060.0,Residence O/S 2sty+,2.0,1904.0,9.0,,1.0,4.0,3.0,1.0,4800.0,5/7/2020,494000.0,"3218 N SHEPARD AV,Milwaukee,wisconsin",43.0761202,-87.87417335
857950.0,Residential,2780107000.0,3004 E HAMPSHIRE ST,3.0,3060.0,Colonial,2.0,1905.0,9.0,,1.0,5.0,2.0,1.0,4360.0,9/30/2020,450000.0,"3004 E HAMPSHIRE ST,Milwaukee,wisconsin",43.07579305,-87.87301478405715
853746.0,Residential,2780111000.0,3224 N MARIETTA AV,3.0,3060.0,Residence O/S 2sty+,2.0,1904.0,7.0,,1.0,3.0,1.0,0.0,3840.0,6/30/2020,328900.0,"3224 N MARIETTA AV,Milwaukee,wisconsin",43.07622965,-87.8730589740942
856623.0,Residential,2780252000.0,3258 N SHEPARD AV,3.0,3060.0,Residence O/S 2sty+,2.0,1904.0,7.0,,1.0,4.0,2.0,1.0,4800.0,8/26/2020,370000.0,"3258 N SHEPARD AV,Milwaukee,wisconsin",43.07693175,-87.87414421049141
858939.0,Residential,2780256000.0,3278-3280 N SHEPARD AV,3.0,3060.0,Duplex O/S,2.0,1909.0,14.0,,2.0,6.0,2.0,0.0,4800.0,10/14/2020,367500.0,"3278-3280 N SHEPARD AV,Milwaukee,wisconsin",43.070989338433364,-87.87455056442721
849993.0,Residential,2780292000.0,3319-3321 N HACKETT AV,3.0,3060.0,Dplx Bungalow,2.0,1920.0,13.0,,2.0,7.0,4.0,0.0,4800.0,3/16/2020,425000.0,"3319-3321 N HACKETT AV,Milwaukee,wisconsin",43.07519662020169,-87.87674814579528
