PropertyID,PropType,District,nbhd,Style,Stories,Year_Built,Rooms,FinishedSqft,Units,Bdrms,Fbath,Hbath,Lotsize,Sale_date,Sale_price,Location,latitude,longitude,City,State,Country
151330.0,Residential,3.0,3060.0,Residence O/S,2.0,1908.0,9.0,2839.0,1.0,5.0,2.0,1.0,4800.0,11/1/2019,572000.0,"3118 N MARIETTA AV,Milwaukee,wisconsin",43.0751431,-87.8730365,Milwaukee,Wisconsin,United States of America
151369.0,Residential,3.0,3060.0,Residence O/S,2.0,1908.0,12.0,3632.0,1.0,6.0,3.0,1.0,5400.0,6/28/2019,395000.0,"3233 N HACKETT AV,Milwaukee,wisconsin",43.076378,-87.8770391,Milwaukee,Wisconsin,United States of America
151385.0,Residential,3.0,3060.0,Residence O/S,2.0,1903.0,9.0,3249.0,1.0,5.0,3.0,1.0,8400.0,9/27/2019,531000.0,"2708 E HAMPSHIRE ST,Milwaukee,wisconsin",43.0758563,-87.876427,Milwaukee,Wisconsin,United States of America
151451.0,Residential,3.0,3060.0,Duplex O/S,2.0,1905.0,12.0,3518.0,2.0,5.0,3.0,1.0,2800.0,9/20/2019,325000.0,"2717-2719 E HARTFORD AV,Milwaukee,wisconsin",43.0776593,-87.8908726,Milwaukee,Wisconsin,United States of America
151453.0,Residential,3.0,3060.0,Duplex O/S,2.0,1904.0,14.0,3743.0,2.0,7.0,2.0,0.0,6600.0,11/25/2019,550000.0,"3277 N SUMMIT AV,Milwaukee,wisconsin",43.0773042,-87.8758783,Milwaukee,Wisconsin,United States of America
151509.0,Residential,3.0,3060.0,Triplex,3.0,1903.0,13.0,4395.0,3.0,3.0,3.0,0.0,10800.0,10/29/2019,305000.0,"3307 N SUMMIT AV,Milwaukee,wisconsin",43.0778565,-87.8758301,Milwaukee,Wisconsin,United States of America
151531.0,Residential,3.0,3060.0,Residence O/S,2.0,1926.0,9.0,3434.0,1.0,4.0,2.0,2.0,11760.0,11/20/2019,755000.0,"3481 N LAKE DR,Milwaukee,wisconsin",43.081447,-87.8732734,Milwaukee,Wisconsin,United States of America
151551.0,Residential,3.0,3060.0,Residence O/S,2.0,1921.0,9.0,3352.0,1.0,5.0,2.0,1.0,9072.0,9/27/2019,660000.0,"3494 N SHEPARD AV,Milwaukee,wisconsin",43.0817567,-87.8739656,Milwaukee,Wisconsin,United States of America
151569.0,Residential,3.0,3060.0,Residence O/S,2.0,1920.0,9.0,2400.0,1.0,5.0,2.0,1.0,7200.0,6/24/2019,452000.0,"3438 N SUMMIT AV,Milwaukee,wisconsin",43.0804134,-87.8751397,Milwaukee,Wisconsin,United States of America
151595.0,Residential,3.0,3060.0,Residence O/S,2.0,1924.0,7.0,3156.0,1.0,4.0,2.0,1.0,7680.0,10/7/2019,535000.0,"3432 N HACKETT AV,Milwaukee,wisconsin",43.0802635,-87.8762657,Milwaukee,Wisconsin,United States of America
